"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1448993_at",-10.229965509973,9.620138555447,-17.1119817448094,1.1521251443331e-14,4.51933610964054e-13,21.0702121357565
"1436208_at",-10.4970709402954,11.2142988013414,-17.0988111895118,1.17143637691776e-14,4.5554737036862e-13,21.0584573883273
"1415834_at",-9.81745930281421,9.55598200775584,-17.0843098113678,1.19308870871682e-14,4.60001979916373e-13,21.0454997342792
"1435478_at",-11.6066184357739,12.1592749861861,-17.0647875926779,1.2228969608627e-14,4.6511599050979e-13,21.0280306197425
"1439389_s_at",-10.5527815554327,10.4105888758202,-17.0612224079651,1.22842369511635e-14,4.6511599050979e-13,21.0248372617341
"1419480_at",-12.1305799489713,11.4110091219054,-17.0555409278924,1.23728483398747e-14,4.6511599050979e-13,21.0197463348082
"1422572_at",-10.9174800092908,10.3740717203173,-17.0278390784936,1.2814520674615e-14,4.71224140372407e-13,20.994888839673
"1422660_at",-10.6628497994994,11.3877164473098,-17.0274827289746,1.28203078488225e-14,4.71224140372407e-13,20.9945686995691
"1423082_at",-10.339513286033,10.0309537564869,-17.0257357432037,1.2848718524896e-14,4.71224140372407e-13,20.9929990890004
"1450053_at",-10.3067143600066,10.0794550678465,-17.0112354995503,1.30870730329041e-14,4.73033728055219e-13,20.9799621274749
"1428662_a_at",-10.6392846886254,9.55297485223968,-17.0099885113158,1.31077845282426e-14,4.73033728055219e-13,20.978840231061
"1447896_s_at",-11.0979081981316,11.2721087130788,-16.9770109599158,1.36680661175526e-14,4.89338462351427e-13,20.9491278163742
"1458440_at",-11.4905158131784,11.8671531978692,-16.9666634766712,1.3848955366199e-14,4.90707001998008e-13,20.9397877371785
"1429392_at",-10.9118764736573,11.0540936024155,-16.9624202077799,1.39238519742285e-14,4.90707001998008e-13,20.9359552153453
"1424584_a_at",-11.4202933846878,12.1779399362997,-16.9458851312168,1.42197490838564e-14,4.94120846820031e-13,20.9210075826689
"1456381_x_at",-10.2890586601788,10.2162403617241,-16.9447779751927,1.42397938564851e-14,4.94120846820031e-13,20.9200059708259
"1417380_at",-10.7494939839221,10.5577585474721,-16.9362183914526,1.43957579034782e-14,4.95719571775497e-13,20.912259193429
"1423414_at",-10.414653521873,10.1931651928162,-16.9287528830813,1.45332367957317e-14,4.96662357466255e-13,20.9054980120627
"1448812_at",-10.5000584262586,10.2533340028731,-16.9215753321205,1.46667003208693e-14,4.9702956443633e-13,20.8989935878205
