"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AFFX-ThrX-5_at",-9.21295901349166,8.94812646728967,-16.306214947673,3.2521128968191e-14,8.15015626530608e-13,20.3263340982092
"1456389_at",-9.01779848173342,7.66901106919661,-16.2991152114644,3.28261482941378e-14,8.15070340900353e-13,20.3195502668097
"1419394_s_at",-15.0206221129005,13.805193545358,-16.2970263115378,3.29164567938912e-14,8.15070340900353e-13,20.3175535295676
"1454268_a_at",-12.0307305957864,11.0495893820368,-16.2913407683153,3.31635678250125e-14,8.15070340900353e-13,20.3121170284154
"1429682_at",-11.094490054908,11.0929655301971,-16.2894527552463,3.32460524774252e-14,8.15070340900353e-13,20.3103111312263
"1438371_x_at",-10.1133790333727,10.7377736189479,-16.2638293636149,3.43868302123237e-14,8.38481032906984e-13,20.2857733543081
"1452285_a_at",-10.4874042017683,11.6033471541986,-16.2434071908335,3.53251492460152e-14,8.52224218270227e-13,20.2661779111684
"1448279_at",-8.75487804492636,8.29128992616674,-16.2433397242538,3.5328292799054e-14,8.52224218270227e-13,20.2661131190572
"1435458_at",-10.1419806920096,9.5468768087931,-16.23258386663,3.58331909945259e-14,8.59805981788862e-13,20.2557788577335
"1437465_a_at",-10.8057842199135,10.0813956309906,-16.211346214198,3.68522710942013e-14,8.79101619521927e-13,20.2353457225562
"1455256_at",-10.0287990616762,8.91403069971856,-16.2077639284114,3.702711321418e-14,8.79101619521927e-13,20.2318954802016
"1437503_a_at",-12.2644085213172,12.9400041223578,-16.1890320378915,3.79555149953103e-14,8.96425801800234e-13,20.2138368209852
"1424834_s_at",-9.1226099391025,7.98496998444004,-16.1735437457368,3.87414192464902e-14,9.10221574067278e-13,20.1988833113243
"1434356_a_at",-9.85202743989522,9.29377779158625,-16.150357932796,3.99496648553728e-14,9.33745793588533e-13,20.1764609876218
"1450971_at",-8.92714554930037,7.65602977107546,-16.1385885610004,4.05779067247485e-14,9.43540913584229e-13,20.165062133314
"1422660_at",-10.0973912520273,11.3877164473098,-16.1245031473355,4.13432996623693e-14,9.53277111896578e-13,20.1514050431346
"1451201_s_at",-9.69753614218593,8.89304462555811,-16.1205465219855,4.15609888413014e-14,9.53277111896578e-13,20.1475657707759
"1418826_at",-10.6875712695831,11.2930749871314,-16.1104119688701,4.21240320120495e-14,9.53277111896578e-13,20.1377258720361
"1448160_at",-11.8814504933127,10.4787366003918,-16.1092445861457,4.2189395344392e-14,9.53277111896578e-13,20.1365918814616
